episode,model,bandwidth,final_reward,split_point
555,vgg19,350,0.0047515404264518,2
556,efficientnetb2,550,0.0,1
557,efficientnetb1,550,0.0,1
558,efficientnetb0,350,0.0,1
559,resnet50,550,0.2772450699669692,3
560,resnet50,750,0.5242927837491854,3
561,efficientnetb1,939,0.7039994792384792,4
562,densenet121,350,0.0523859604428457,3
563,efficientnetb0,939,1.0,3
564,resnet50,550,0.106889737057666,2
565,resnet34,350,0.4048286739573794,12
566,efficientnetb1,750,0.258386396623143,2
567,vgg19,550,0.7603022178684953,17
568,vgg16,350,0.4955592672941035,5
569,vgg16,750,0.0058887013115276,1
570,resnet50,750,0.9081489241651808,4
571,efficientnetb1,550,0.2436659344100393,2
572,resnet50,939,0.3012988939538109,3
573,vgg19,750,0.0,1
574,resnet50,939,0.8248723661787692,5
575,efficientnetb0,350,0.2601845258832877,2
576,densenet121,550,0.5185925451749753,8
577,resnet50,350,0.0948151869136176,2
578,efficientnetb0,350,0.3057373745716766,6
579,efficientnetb0,550,0.2755689518747824,6
580,resnet34,939,0.2104748857315504,1
581,resnet34,350,0.1157963719048598,1
582,vgg19,939,0.4817677379651593,9
583,efficientnetb2,750,0.1857252749278613,2
584,densenet121,550,1.0,6
585,vgg16,350,0.1139662905811487,4
586,vgg19,939,0.1144285467096243,4
587,efficientnetb2,550,0.0,1
588,resnet50,939,1.0,6
589,efficientnetb0,750,0.0,1
590,efficientnetb2,750,0.0,1
591,efficientnetb0,750,0.0665010548114934,7
592,vgg19,750,0.1063831635744575,4
593,efficientnetb0,350,0.7221681243288518,4
594,efficientnetb0,350,1.0,3
595,vgg19,750,0.0061276421520036,2
596,efficientnetb2,750,0.6313792880026403,4
597,resnet50,350,0.8169515861153699,7
598,efficientnetb1,350,0.2323535341648464,2
599,efficientnetb1,939,0.023223098071313,8
600,vgg19,939,0.1144285467096243,4
601,vgg19,939,0.0183675354070255,1
602,efficientnetb1,550,0.6878389778024664,4
603,resnet34,550,0.3605928556450244,3
604,efficientnetb0,750,0.0,1
605,vgg19,350,0.3463718988145903,7
606,vgg19,750,0.0,1
607,efficientnetb1,350,1.0,3
608,resnet34,350,0.6392378211717704,6
609,efficientnetb0,750,1.0,3
610,densenet121,550,1.0,6
611,efficientnetb1,939,0.2284047954549483,2
612,resnet50,350,0.3548656355696806,11
613,efficientnetb2,550,0.1997439170806723,2
614,resnet50,939,0.1412757250508847,2
615,densenet121,550,0.0266970250369456,2
616,vgg19,939,0.0,2
617,resnet50,750,0.3024732800391974,11
618,resnet34,939,0.8120702549228033,7
619,efficientnetb0,750,0.6483214388113725,4
620,resnet34,939,0.8120702549228033,7
621,resnet50,550,0.4611472962789475,4
622,efficientnetb1,550,1.0,3
623,efficientnetb2,350,0.237407337197427,6
624,efficientnetb0,939,0.5462134982716761,5
625,efficientnetb1,350,1.0,3
626,efficientnetb0,350,0.2601845258832877,2
627,vgg16,750,0.0058887013115276,1
628,efficientnetb0,550,0.0,1
629,efficientnetb0,750,0.221102352041803,2
630,densenet121,350,0.6263678162488967,5
631,densenet121,350,0.0,1
632,resnet50,939,0.1412757250508847,2
633,resnet50,750,0.098265786808133,1
634,efficientnetb0,550,0.290069122860228,2
635,efficientnetb1,750,0.258386396623143,2
636,efficientnetb1,750,0.0,1
637,vgg16,350,0.0,1
638,efficientnetb1,750,0.0,1
639,efficientnetb1,750,0.7228690296773087,4
640,vgg16,350,0.4552780768214839,7
641,vgg16,550,0.0199271539720846,1
642,resnet34,550,0.1426819901860775,1
643,vgg19,550,0.0192737323606945,1
644,densenet121,350,0.5134540759121593,7
645,efficientnetb2,939,0.0,1
646,resnet34,550,0.2165759106887793,2
647,resnet34,939,0.2104748857315504,1
648,resnet50,750,0.098265786808133,1
649,vgg19,750,0.5392519021115965,9
650,resnet34,550,0.4132006712758983,4
651,resnet50,939,0.8248723661787692,5
652,efficientnetb1,350,0.5010852886204035,5
653,resnet50,350,0.0174859151390518,1
654,efficientnetb0,350,0.0,1
655,efficientnetb2,939,0.0,1
656,vgg19,750,0.0,1
657,resnet50,350,0.0174859151390518,1
658,efficientnetb2,550,0.1997439170806723,2
659,efficientnetb1,350,0.0,1
660,resnet34,750,1.0,8
661,resnet50,550,0.0097267662088094,1
662,vgg16,550,0.0768889395683232,3
663,efficientnetb0,939,1.0,3
664,vgg16,750,0.0,2
665,efficientnetb1,350,0.0,1
666,efficientnetb0,550,0.0977278646092725,7
667,resnet50,550,0.0097267662088094,1
668,densenet121,350,0.1559092218783189,10
669,efficientnetb0,939,0.0,1
670,resnet34,750,0.6702494870914867,10
671,densenet121,750,0.0279532973407523,2
672,efficientnetb1,939,0.4873612700075253,5
673,densenet121,350,0.5134540759121593,7
674,resnet50,350,0.0948151869136176,2
675,resnet50,939,0.481243768988981,4
676,efficientnetb2,550,1.0,3
677,efficientnetb0,939,0.245393377540531,2
678,resnet34,350,0.7118597986318302,7
679,resnet34,550,0.2165759106887793,2
680,densenet121,750,0.0279532973407523,2
681,vgg19,939,0.6821322371858641,10
682,vgg16,750,0.0,2
683,efficientnetb2,550,0.0,1
684,resnet34,750,0.1441687792856025,1
685,vgg16,550,0.0983706975456484,4
686,efficientnetb0,750,0.2823668742486632,6
687,densenet121,939,0.0166311998595305,3
688,efficientnetb2,550,0.1997439170806723,2
689,resnet34,939,0.1948128353717363,13
690,vgg19,939,0.3786480345124817,5
691,densenet121,550,0.5224277109043235,7
692,resnet34,550,0.8215653788441881,7
693,resnet34,350,0.19930012289416,2
694,vgg16,939,0.0381294915227273,4
695,vgg16,350,0.0,1
696,efficientnetb0,750,0.0,1
697,resnet50,350,0.4185699515342624,10
698,efficientnetb1,750,0.5409660759543289,5
699,efficientnetb0,750,0.0,1
700,resnet34,750,0.1441687792856025,1
701,resnet50,350,0.2365622217411404,3
702,resnet34,750,0.3301584795875527,3
703,resnet50,939,0.4611727687596107,9
704,efficientnetb1,550,0.0,1
705,vgg19,750,0.482051380981956,8
706,efficientnetb0,550,0.5319033905566624,5
707,resnet50,750,0.0818889247479734,14
708,efficientnetb0,350,1.0,3
709,densenet121,350,1.0,6
710,vgg16,550,0.9461219284703368,13
711,efficientnetb0,550,0.7484594574197447,4
712,resnet34,750,1.0,8
713,vgg19,750,0.7336613700677788,18
714,efficientnetb1,750,0.5409660759543289,5
715,efficientnetb0,350,0.2601845258832877,2
716,efficientnetb1,550,0.2436659344100393,2
